FROMNODENO,TONODENO,WKT
30470,30471,"LINESTRING (-1.50936945389708 52.4129385498578, -1.50956087608615 52.413119240171)"
30471,30470,"LINESTRING (-1.50956087608615 52.413119240171, -1.50936945389708 52.4129385498578)"
30472,30473,"LINESTRING (-1.50899916827086 52.4133231430041, -1.50862417767411 52.4130553330553)"
30473,30472,"LINESTRING (-1.50862417767411 52.4130553330553, -1.50899916827086 52.4133231430041)"
30473,30474,"LINESTRING (-1.50862417767411 52.4130553330553, -1.50894123670178 52.4128855347338)"
30474,30473,"LINESTRING (-1.50894123670178 52.4128855347338, -1.50862417767411 52.4130553330553)"
30474,30647,"LINESTRING (-1.50894123670178 52.4128855347338, -1.50902090036305 52.4128966544522)"
30647,30474,"LINESTRING (-1.50902090036305 52.4128966544522, -1.50894123670178 52.4128855347338)"
30173,30473,"LINESTRING (-1.50708134224729 52.4126890846266, -1.50862417767411 52.4130553330553)"
30473,30173,"LINESTRING (-1.50862417767411 52.4130553330553, -1.50708134224729 52.4126890846266)"
30475,30476,"LINESTRING (-1.5049593650136 52.4121840804351, -1.50585779246711 52.4119731028743)"
30476,30475,"LINESTRING (-1.50585779246711 52.4119731028743, -1.5049593650136 52.4121840804351)"
30177,30476,"LINESTRING (-1.50612364179585 52.4118907296183, -1.50585779246711 52.4119731028743)"
30476,30177,"LINESTRING (-1.50585779246711 52.4119731028743, -1.50612364179585 52.4118907296183)"
30475,30477,"LINESTRING (-1.5049593650136 52.4121840804351, -1.5053420836471 52.4117942615832)"
30477,30475,"LINESTRING (-1.5053420836471 52.4117942615832, -1.5049593650136 52.4121840804351)"
30476,30477,"LINESTRING (-1.50585779246711 52.4119731028743, -1.5053420836471 52.4117942615832)"
30477,30476,"LINESTRING (-1.5053420836471 52.4117942615832, -1.50585779246711 52.4119731028743)"
30479,30480,"LINESTRING (-1.50761637321817 52.4121583647263, -1.50736514968617 52.4120398863799)"
30480,30479,"LINESTRING (-1.50736514968617 52.4120398863799, -1.50761637321817 52.4121583647263)"
30481,30482,"LINESTRING (-1.50759333969426 52.4109142078096, -1.50727720098263 52.4111554304185)"
30482,30481,"LINESTRING (-1.50727720098263 52.4111554304185, -1.50759333969426 52.4109142078096)"
30480,30483,"LINESTRING (-1.50736514968617 52.4120398863799, -1.5040181987053 52.4101584785863)"
30483,30480,"LINESTRING (-1.5040181987053 52.4101584785863, -1.50736514968617 52.4120398863799)"
30482,30484,"LINESTRING (-1.50727720098263 52.4111554304185, -1.50659574096057 52.4108749838065)"
30484,30482,"LINESTRING (-1.50659574096057 52.4108749838065, -1.50727720098263 52.4111554304185)"
30477,30478,"LINESTRING (-1.5053420836471 52.4117942615832, -1.50522643250775 52.4115743671024)"
30478,30477,"LINESTRING (-1.50522643250775 52.4115743671024, -1.5053420836471 52.4117942615832)"
30478,30485,"LINESTRING (-1.50522643250775 52.4115743671024, -1.50531520022952 52.41114428374)"
30485,30478,"LINESTRING (-1.50531520022952 52.41114428374, -1.50522643250775 52.4115743671024)"
30480,30485,"LINESTRING (-1.50736514968617 52.4120398863799, -1.50531520022952 52.41114428374)"
30485,30480,"LINESTRING (-1.50531520022952 52.41114428374, -1.50736514968617 52.4120398863799)"
30478,30483,"LINESTRING (-1.50522643250775 52.4115743671024, -1.5040181987053 52.4101584785863)"
30483,30478,"LINESTRING (-1.5040181987053 52.4101584785863, -1.50522643250775 52.4115743671024)"
30485,30486,"LINESTRING (-1.50531520022952 52.41114428374, -1.50538964021027 52.4110109802339)"
30486,30485,"LINESTRING (-1.50538964021027 52.4110109802339, -1.50531520022952 52.41114428374)"
30479,30486,"LINESTRING (-1.50761637321817 52.4121583647263, -1.50538964021027 52.4110109802339)"
30486,30479,"LINESTRING (-1.50538964021027 52.4110109802339, -1.50761637321817 52.4121583647263)"
30484,30487,"LINESTRING (-1.50659574096057 52.4108749838065, -1.5063137113278 52.4108294183284)"
30487,30484,"LINESTRING (-1.5063137113278 52.4108294183284, -1.50659574096057 52.4108749838065)"
30483,30487,"LINESTRING (-1.5040181987053 52.4101584785863, -1.5063137113278 52.4108294183284)"
30487,30483,"LINESTRING (-1.5063137113278 52.4108294183284, -1.5040181987053 52.4101584785863)"
30283,30284,"LINESTRING (-1.45575478602431 52.4188650799081, -1.45489650213824 52.4181149453839)"
30284,30283,"LINESTRING (-1.45489650213824 52.4181149453839, -1.45575478602431 52.4188650799081)"
30489,30490,"LINESTRING (-1.51042935232522 52.4090653487713, -1.50967485040346 52.4090353683351)"
30490,30489,"LINESTRING (-1.50967485040346 52.4090353683351, -1.51042935232522 52.4090653487713)"
30159,30490,"LINESTRING (-1.50980425905254 52.4084699508953, -1.50967485040346 52.4090353683351)"
30490,30159,"LINESTRING (-1.50967485040346 52.4090353683351, -1.50980425905254 52.4084699508953)"
30304,30489,"LINESTRING (-1.51082070613229 52.4104359051685, -1.51042935232522 52.4090653487713)"
30489,30304,"LINESTRING (-1.51042935232522 52.4090653487713, -1.51082070613229 52.4104359051685)"
30494,30495,"LINESTRING (-1.44755390250051 52.422012115525, -1.44729391458657 52.4222609398104)"
30495,30494,"LINESTRING (-1.44729391458657 52.4222609398104, -1.44755390250051 52.422012115525)"
30492,30498,"LINESTRING (-1.44883293016286 52.4222565974073, -1.4482435042896 52.4224777837986)"
30498,30492,"LINESTRING (-1.4482435042896 52.4224777837986, -1.44883293016286 52.4222565974073)"
30493,30499,"LINESTRING (-1.4469342408044 52.4231909915287, -1.44720895603004 52.4230439386606)"
30499,30493,"LINESTRING (-1.44720895603004 52.4230439386606, -1.4469342408044 52.4231909915287)"
30493,30500,"LINESTRING (-1.4469342408044 52.4231909915287, -1.44687286382394 52.4229052095248)"
30500,30493,"LINESTRING (-1.44687286382394 52.4229052095248, -1.4469342408044 52.4231909915287)"
30496,30497,"LINESTRING (-1.44782817286276 52.4222016272846, -1.44805129937685 52.422254923968)"
30497,30496,"LINESTRING (-1.44805129937685 52.422254923968, -1.44782817286276 52.4222016272846)"
30497,30498,"LINESTRING (-1.44805129937685 52.422254923968, -1.4482435042896 52.4224777837986)"
30498,30497,"LINESTRING (-1.4482435042896 52.4224777837986, -1.44805129937685 52.422254923968)"
30498,30499,"LINESTRING (-1.4482435042896 52.4224777837986, -1.44720895603004 52.4230439386606)"
30499,30498,"LINESTRING (-1.44720895603004 52.4230439386606, -1.4482435042896 52.4224777837986)"
30499,30500,"LINESTRING (-1.44720895603004 52.4230439386606, -1.44687286382394 52.4229052095248)"
30500,30499,"LINESTRING (-1.44687286382394 52.4229052095248, -1.44720895603004 52.4230439386606)"
30495,30500,"LINESTRING (-1.44729391458657 52.4222609398104, -1.44687286382394 52.4229052095248)"
30500,30495,"LINESTRING (-1.44687286382394 52.4229052095248, -1.44729391458657 52.4222609398104)"
30503,30744,"LINESTRING (-1.48800057696735 52.4202053956044, -1.4890213721848 52.4207573002225)"
30744,30503,"LINESTRING (-1.4890213721848 52.4207573002225, -1.48800057696735 52.4202053956044)"
30504,30509,"LINESTRING (-1.48658540548003 52.4298070710814, -1.48598204223729 52.4298376024864)"
30509,30504,"LINESTRING (-1.48598204223729 52.4298376024864, -1.48658540548003 52.4298070710814)"
30504,30510,"LINESTRING (-1.48658540548003 52.4298070710814, -1.4862989605851 52.4300932304364)"
30510,30504,"LINESTRING (-1.4862989605851 52.4300932304364, -1.48658540548003 52.4298070710814)"
30506,30514,"LINESTRING (-1.48485464088831 52.430585060506, -1.485229474074 52.4302877701865)"
30514,30506,"LINESTRING (-1.485229474074 52.4302877701865, -1.48485464088831 52.430585060506)"
30506,30513,"LINESTRING (-1.48485464088831 52.430585060506, -1.4855647123602 52.4304698731332)"
30513,30506,"LINESTRING (-1.4855647123602 52.4304698731332, -1.48485464088831 52.430585060506)"
30507,30511,"LINESTRING (-1.48633933856388 52.4307715983562, -1.48626055455714 52.4302737094829)"
30511,30507,"LINESTRING (-1.48626055455714 52.4302737094829, -1.48633933856388 52.4307715983562)"
30507,30512,"LINESTRING (-1.48633933856388 52.4307715983562, -1.48575159776346 52.4304852944922)"
30512,30507,"LINESTRING (-1.48575159776346 52.4304852944922, -1.48633933856388 52.4307715983562)"
30505,30517,"LINESTRING (-1.48533023897706 52.4293703723009, -1.48529388757625 52.4299267596956)"
30517,30505,"LINESTRING (-1.48529388757625 52.4299267596956, -1.48533023897706 52.4293703723009)"
30505,30518,"LINESTRING (-1.48533023897706 52.4293703723009, -1.48576554523542 52.4297998579656)"
30518,30505,"LINESTRING (-1.48576554523542 52.4297998579656, -1.48533023897706 52.4293703723009)"
30508,30515,"LINESTRING (-1.48470024619502 52.4299340716356, -1.48518216315807 52.4302063718114)"
30515,30508,"LINESTRING (-1.48518216315807 52.4302063718114, -1.48470024619502 52.4299340716356)"
30508,30516,"LINESTRING (-1.48470024619502 52.4299340716356, -1.48523290882846 52.429992796598)"
30516,30508,"LINESTRING (-1.48523290882846 52.429992796598, -1.48470024619502 52.4299340716356)"
30509,30510,"LINESTRING (-1.48598204223729 52.4298376024864, -1.4862989605851 52.4300932304364)"
30510,30509,"LINESTRING (-1.4862989605851 52.4300932304364, -1.48598204223729 52.4298376024864)"
30510,30511,"LINESTRING (-1.4862989605851 52.4300932304364, -1.48626055455714 52.4302737094829)"
30511,30510,"LINESTRING (-1.48626055455714 52.4302737094829, -1.4862989605851 52.4300932304364)"
30511,30512,"LINESTRING (-1.48626055455714 52.4302737094829, -1.48575159776346 52.4304852944922)"
30512,30511,"LINESTRING (-1.48575159776346 52.4304852944922, -1.48626055455714 52.4302737094829)"
30512,30513,"LINESTRING (-1.48575159776346 52.4304852944922, -1.4855647123602 52.4304698731332)"
30513,30512,"LINESTRING (-1.4855647123602 52.4304698731332, -1.48575159776346 52.4304852944922)"
30513,30514,"LINESTRING (-1.4855647123602 52.4304698731332, -1.485229474074 52.4302877701865)"
30514,30513,"LINESTRING (-1.485229474074 52.4302877701865, -1.4855647123602 52.4304698731332)"
30514,30515,"LINESTRING (-1.485229474074 52.4302877701865, -1.48518216315807 52.4302063718114)"
30515,30514,"LINESTRING (-1.48518216315807 52.4302063718114, -1.485229474074 52.4302877701865)"
30515,30516,"LINESTRING (-1.48518216315807 52.4302063718114, -1.48523290882846 52.429992796598)"
30516,30515,"LINESTRING (-1.48523290882846 52.429992796598, -1.48518216315807 52.4302063718114)"
30516,30517,"LINESTRING (-1.48523290882846 52.429992796598, -1.48529388757625 52.4299267596956)"
30517,30516,"LINESTRING (-1.48529388757625 52.4299267596956, -1.48523290882846 52.429992796598)"
30517,30518,"LINESTRING (-1.48529388757625 52.4299267596956, -1.48576554523542 52.4297998579656)"
30518,30517,"LINESTRING (-1.48576554523542 52.4297998579656, -1.48529388757625 52.4299267596956)"
30509,30518,"LINESTRING (-1.48598204223729 52.4298376024864, -1.48576554523542 52.4297998579656)"
30518,30509,"LINESTRING (-1.48576554523542 52.4297998579656, -1.48598204223729 52.4298376024864)"
30202,30519,"LINESTRING (-1.49593257499654 52.4332663171568, -1.49639730125974 52.4325783044195)"
30519,30202,"LINESTRING (-1.49639730125974 52.4325783044195, -1.49593257499654 52.4332663171568)"
30521,30523,"LINESTRING (-1.51793910747382 52.4308983795502, -1.51711416683173 52.431522357643)"
30523,30521,"LINESTRING (-1.51711416683173 52.431522357643, -1.51793910747382 52.4308983795502)"
30521,30524,"LINESTRING (-1.51793910747382 52.4308983795502, -1.51760156246833 52.4301570050594)"
30524,30521,"LINESTRING (-1.51760156246833 52.4301570050594, -1.51793910747382 52.4308983795502)"
30094,30525,"LINESTRING (-1.53176675260879 52.4275607005087, -1.53065866748559 52.4281257783492)"
30525,30094,"LINESTRING (-1.53065866748559 52.4281257783492, -1.53176675260879 52.4275607005087)"
30529,30532,"LINESTRING (-1.53227441141091 52.4361797267836, -1.5317166519075 52.4359009345045)"
30532,30529,"LINESTRING (-1.5317166519075 52.4359009345045, -1.53227441141091 52.4361797267836)"
30530,30533,"LINESTRING (-1.53162373133035 52.4350601764488, -1.53161809566295 52.4355920275054)"
30533,30530,"LINESTRING (-1.53161809566295 52.4355920275054, -1.53162373133035 52.4350601764488)"
30530,30531,"LINESTRING (-1.53162373133035 52.4350601764488, -1.53190999244666 52.4356489935527)"
30531,30530,"LINESTRING (-1.53190999244666 52.4356489935527, -1.53162373133035 52.4350601764488)"
30531,30533,"LINESTRING (-1.53190999244666 52.4356489935527, -1.53161809566295 52.4355920275054)"
30533,30531,"LINESTRING (-1.53161809566295 52.4355920275054, -1.53190999244666 52.4356489935527)"
30527,30532,"LINESTRING (-1.53158388274269 52.4358850984293, -1.5317166519075 52.4359009345045)"
30532,30527,"LINESTRING (-1.5317166519075 52.4359009345045, -1.53158388274269 52.4358850984293)"
30527,30528,"LINESTRING (-1.53158388274269 52.4358850984293, -1.53144666073155 52.4357342514356)"
30528,30527,"LINESTRING (-1.53144666073155 52.4357342514356, -1.53158388274269 52.4358850984293)"
30528,30533,"LINESTRING (-1.53144666073155 52.4357342514356, -1.53161809566295 52.4355920275054)"
30533,30528,"LINESTRING (-1.53161809566295 52.4355920275054, -1.53144666073155 52.4357342514356)"
30536,30547,"LINESTRING (-1.57158543656122 52.421610658329, -1.57101068986057 52.4218827743164)"
30547,30536,"LINESTRING (-1.57101068986057 52.4218827743164, -1.57158543656122 52.421610658329)"
30536,30546,"LINESTRING (-1.57158543656122 52.421610658329, -1.57076475157398 52.4216419763476)"
30546,30536,"LINESTRING (-1.57076475157398 52.4216419763476, -1.57158543656122 52.421610658329)"
30534,30542,"LINESTRING (-1.56915260550713 52.4226722048414, -1.56924713881878 52.4224060246142)"
30542,30534,"LINESTRING (-1.56924713881878 52.4224060246142, -1.56915260550713 52.4226722048414)"
30534,30541,"LINESTRING (-1.56915260550713 52.4226722048414, -1.56966103675506 52.4225937109025)"
30541,30534,"LINESTRING (-1.56966103675506 52.4225937109025, -1.56915260550713 52.4226722048414)"
30535,30544,"LINESTRING (-1.56832036550649 52.4221951445256, -1.56923585824018 52.421780887633)"
30544,30535,"LINESTRING (-1.56923585824018 52.421780887633, -1.56832036550649 52.4221951445256)"
30535,30543,"LINESTRING (-1.56832036550649 52.4221951445256, -1.5691694123516 52.4223028340573)"
30543,30535,"LINESTRING (-1.5691694123516 52.4223028340573, -1.56832036550649 52.4221951445256)"
30538,30539,"LINESTRING (-1.57254237173802 52.4251548176493, -1.5709531369161 52.4222733549623)"
30539,30538,"LINESTRING (-1.5709531369161 52.4222733549623, -1.57254237173802 52.4251548176493)"
30538,30540,"LINESTRING (-1.57254237173802 52.4251548176493, -1.56985368425645 52.422630371841)"
30540,30538,"LINESTRING (-1.56985368425645 52.422630371841, -1.57254237173802 52.4251548176493)"
30537,30545,"LINESTRING (-1.56911421233028 52.4184634189095, -1.56946227701517 52.4216252927636)"
30545,30537,"LINESTRING (-1.56946227701517 52.4216252927636, -1.56911421233028 52.4184634189095)"
30546,30547,"LINESTRING (-1.57076475157398 52.4216419763476, -1.57101068986057 52.4218827743164)"
30547,30546,"LINESTRING (-1.57101068986057 52.4218827743164, -1.57076475157398 52.4216419763476)"
30539,30547,"LINESTRING (-1.5709531369161 52.4222733549623, -1.57101068986057 52.4218827743164)"
30547,30539,"LINESTRING (-1.57101068986057 52.4218827743164, -1.5709531369161 52.4222733549623)"
30539,30540,"LINESTRING (-1.5709531369161 52.4222733549623, -1.56985368425645 52.422630371841)"
30540,30539,"LINESTRING (-1.56985368425645 52.422630371841, -1.5709531369161 52.4222733549623)"
30540,30541,"LINESTRING (-1.56985368425645 52.422630371841, -1.56966103675506 52.4225937109025)"
30541,30540,"LINESTRING (-1.56966103675506 52.4225937109025, -1.56985368425645 52.422630371841)"
30541,30542,"LINESTRING (-1.56966103675506 52.4225937109025, -1.56924713881878 52.4224060246142)"
30542,30541,"LINESTRING (-1.56924713881878 52.4224060246142, -1.56966103675506 52.4225937109025)"
30542,30543,"LINESTRING (-1.56924713881878 52.4224060246142, -1.5691694123516 52.4223028340573)"
30543,30542,"LINESTRING (-1.5691694123516 52.4223028340573, -1.56924713881878 52.4224060246142)"
30543,30544,"LINESTRING (-1.5691694123516 52.4223028340573, -1.56923585824018 52.421780887633)"
30544,30543,"LINESTRING (-1.56923585824018 52.421780887633, -1.5691694123516 52.4223028340573)"
30544,30545,"LINESTRING (-1.56923585824018 52.421780887633, -1.56946227701517 52.4216252927636)"
30545,30544,"LINESTRING (-1.56946227701517 52.4216252927636, -1.56923585824018 52.421780887633)"
30537,30538,"LINESTRING (-1.56911421233028 52.4184634189095, -1.57254237173802 52.4251548176493)"
30538,30537,"LINESTRING (-1.57254237173802 52.4251548176493, -1.56911421233028 52.4184634189095)"
30537,30548,"LINESTRING (-1.56911421233028 52.4184634189095, -1.56899115429979 52.4179402520249)"
30548,30537,"LINESTRING (-1.56899115429979 52.4179402520249, -1.56911421233028 52.4184634189095)"
30553,30561,"LINESTRING (-1.49810674932795 52.4477409622851, -1.49919351314288 52.4486418212459)"
30561,30553,"LINESTRING (-1.49919351314288 52.4486418212459, -1.49810674932795 52.4477409622851)"
30553,30560,"LINESTRING (-1.49810674932795 52.4477409622851, -1.4987875873616 52.4488393666854)"
30560,30553,"LINESTRING (-1.4987875873616 52.4488393666854, -1.49810674932795 52.4477409622851)"
30551,30556,"LINESTRING (-1.4997832178953 52.4497989412429, -1.4997521554249 52.4493309197627)"
30556,30551,"LINESTRING (-1.4997521554249 52.4493309197627, -1.4997832178953 52.4497989412429)"
30551,30557,"LINESTRING (-1.4997832178953 52.4497989412429, -1.4992144659422 52.4495117336324)"
30557,30551,"LINESTRING (-1.4992144659422 52.4495117336324, -1.4997832178953 52.4497989412429)"
30550,30559,"LINESTRING (-1.49822920284399 52.4493199888642, -1.49867673419344 52.4490357167338)"
30559,30550,"LINESTRING (-1.49867673419344 52.4490357167338, -1.49822920284399 52.4493199888642)"
30550,30558,"LINESTRING (-1.49822920284399 52.4493199888642, -1.498795144374 52.4493841177486)"
30558,30550,"LINESTRING (-1.498795144374 52.4493841177486, -1.49822920284399 52.4493199888642)"
30552,30554,"LINESTRING (-1.50018958993227 52.4489516085894, -1.49978513730501 52.4487337346177)"
30554,30552,"LINESTRING (-1.49978513730501 52.4487337346177, -1.50018958993227 52.4489516085894)"
30552,30555,"LINESTRING (-1.50018958993227 52.4489516085894, -1.49981707324064 52.4491109750769)"
30555,30552,"LINESTRING (-1.49981707324064 52.4491109750769, -1.50018958993227 52.4489516085894)"
30560,30561,"LINESTRING (-1.4987875873616 52.4488393666854, -1.49919351314288 52.4486418212459)"
30561,30560,"LINESTRING (-1.49919351314288 52.4486418212459, -1.4987875873616 52.4488393666854)"
30554,30561,"LINESTRING (-1.49978513730501 52.4487337346177, -1.49919351314288 52.4486418212459)"
30561,30554,"LINESTRING (-1.49919351314288 52.4486418212459, -1.49978513730501 52.4487337346177)"
30554,30555,"LINESTRING (-1.49978513730501 52.4487337346177, -1.49981707324064 52.4491109750769)"
30555,30554,"LINESTRING (-1.49981707324064 52.4491109750769, -1.49978513730501 52.4487337346177)"
30555,30556,"LINESTRING (-1.49981707324064 52.4491109750769, -1.4997521554249 52.4493309197627)"
30556,30555,"LINESTRING (-1.4997521554249 52.4493309197627, -1.49981707324064 52.4491109750769)"
30556,30557,"LINESTRING (-1.4997521554249 52.4493309197627, -1.4992144659422 52.4495117336324)"
30557,30556,"LINESTRING (-1.4992144659422 52.4495117336324, -1.4997521554249 52.4493309197627)"
30557,30558,"LINESTRING (-1.4992144659422 52.4495117336324, -1.498795144374 52.4493841177486)"
30558,30557,"LINESTRING (-1.498795144374 52.4493841177486, -1.4992144659422 52.4495117336324)"
30558,30559,"LINESTRING (-1.498795144374 52.4493841177486, -1.49867673419344 52.4490357167338)"
30559,30558,"LINESTRING (-1.49867673419344 52.4490357167338, -1.498795144374 52.4493841177486)"
30559,30560,"LINESTRING (-1.49867673419344 52.4490357167338, -1.4987875873616 52.4488393666854)"
30560,30559,"LINESTRING (-1.4987875873616 52.4488393666854, -1.49867673419344 52.4490357167338)"
30199,30208,"LINESTRING (-1.49897949170231 52.3933172091147, -1.4941504943743 52.3928111856604)"
30208,30199,"LINESTRING (-1.4941504943743 52.3928111856604, -1.49897949170231 52.3933172091147)"
30162,30564,"LINESTRING (-1.50935370068887 52.3787965979252, -1.50912236986439 52.3793724156826)"
30564,30162,"LINESTRING (-1.50912236986439 52.3793724156826, -1.50935370068887 52.3787965979252)"
30161,30565,"LINESTRING (-1.5095356659368 52.3809370190069, -1.5046194477997 52.3837006791097)"
30565,30161,"LINESTRING (-1.5046194477997 52.3837006791097, -1.5095356659368 52.3809370190069)"
30203,30566,"LINESTRING (-1.49621332798294 52.3867586396877, -1.50063948486597 52.3833942895068)"
30566,30203,"LINESTRING (-1.50063948486597 52.3833942895068, -1.49621332798294 52.3867586396877)"
30565,30566,"LINESTRING (-1.5046194477997 52.3837006791097, -1.50063948486597 52.3833942895068)"
30566,30565,"LINESTRING (-1.50063948486597 52.3833942895068, -1.5046194477997 52.3837006791097)"
30206,30567,"LINESTRING (-1.49490100830121 52.3862785286196, -1.50145037059506 52.3792285074853)"
30567,30206,"LINESTRING (-1.50145037059506 52.3792285074853, -1.49490100830121 52.3862785286196)"
30567,30568,"LINESTRING (-1.50145037059506 52.3792285074853, -1.50586557275878 52.3793762715667)"
30568,30567,"LINESTRING (-1.50586557275878 52.3793762715667, -1.50145037059506 52.3792285074853)"
30571,30572,"LINESTRING (-1.44261958828065 52.3966970781462, -1.44752927274834 52.3980484138065)"
30572,30571,"LINESTRING (-1.44752927274834 52.3980484138065, -1.44261958828065 52.3966970781462)"
30262,30573,"LINESTRING (-1.46822121901824 52.3835993690961, -1.46504915783962 52.384923761727)"
30573,30262,"LINESTRING (-1.46504915783962 52.384923761727, -1.46822121901824 52.3835993690961)"
30268,30573,"LINESTRING (-1.46685291549278 52.3862003675936, -1.46504915783962 52.384923761727)"
30573,30268,"LINESTRING (-1.46504915783962 52.384923761727, -1.46685291549278 52.3862003675936)"
30299,30574,"LINESTRING (-1.44581214467288 52.416742193777, -1.4528911110995 52.4153437426361)"
30574,30299,"LINESTRING (-1.4528911110995 52.4153437426361, -1.44581214467288 52.416742193777)"
30284,30574,"LINESTRING (-1.45489650213824 52.4181149453839, -1.4528911110995 52.4153437426361)"
30574,30284,"LINESTRING (-1.4528911110995 52.4153437426361, -1.45489650213824 52.4181149453839)"
30274,30576,"LINESTRING (-1.46028345069419 52.429718951502, -1.46188339507626 52.4262037904479)"
30576,30274,"LINESTRING (-1.46188339507626 52.4262037904479, -1.46028345069419 52.429718951502)"
30579,30580,"LINESTRING (-1.45542437243428 52.4415895034844, -1.45469831167184 52.4410048926637)"
30580,30579,"LINESTRING (-1.45469831167184 52.4410048926637, -1.45542437243428 52.4415895034844)"
30581,30741,"LINESTRING (-1.4646646718996 52.4363421064656, -1.46449495965445 52.4351559097903)"
30741,30581,"LINESTRING (-1.46449495965445 52.4351559097903, -1.4646646718996 52.4363421064656)"
30160,30584,"LINESTRING (-1.50916104086515 52.4427257534978, -1.50386892736115 52.4419789665489)"
30584,30160,"LINESTRING (-1.50386892736115 52.4419789665489, -1.50916104086515 52.4427257534978)"
30584,30585,"LINESTRING (-1.50386892736115 52.4419789665489, -1.50281439968787 52.441805976189)"
30585,30584,"LINESTRING (-1.50281439968787 52.441805976189, -1.50386892736115 52.4419789665489)"
30193,30589,"LINESTRING (-1.50955436193094 52.4444755056538, -1.50977378588894 52.4457909357869)"
30589,30193,"LINESTRING (-1.50977378588894 52.4457909357869, -1.50955436193094 52.4444755056538)"
30156,30586,"LINESTRING (-1.51057896472119 52.4407168293739, -1.50859413633554 52.4406396957926)"
30586,30156,"LINESTRING (-1.50859413633554 52.4406396957926, -1.51057896472119 52.4407168293739)"
30160,30586,"LINESTRING (-1.50916104086515 52.4427257534978, -1.50859413633554 52.4406396957926)"
30586,30160,"LINESTRING (-1.50859413633554 52.4406396957926, -1.50916104086515 52.4427257534978)"
30124,30587,"LINESTRING (-1.52203019555629 52.4428852991776, -1.52275695290074 52.4411492107119)"
30587,30124,"LINESTRING (-1.52275695290074 52.4411492107119, -1.52203019555629 52.4428852991776)"
30127,30588,"LINESTRING (-1.52063340535636 52.446071413525, -1.52168836405612 52.4459231311158)"
30588,30127,"LINESTRING (-1.52168836405612 52.4459231311158, -1.52063340535636 52.446071413525)"
30158,30589,"LINESTRING (-1.51011511127608 52.4467292851029, -1.50977378588894 52.4457909357869)"
30589,30158,"LINESTRING (-1.50977378588894 52.4457909357869, -1.51011511127608 52.4467292851029)"
30590,30591,"LINESTRING (-1.51925159786607 52.446552115395, -1.5135413312509 52.4491606290991)"
30591,30590,"LINESTRING (-1.5135413312509 52.4491606290991, -1.51925159786607 52.446552115395)"
30212,30671,"LINESTRING (-1.49142691030785 52.4546156696441, -1.4903765363581 52.4566513384672)"
30671,30212,"LINESTRING (-1.4903765363581 52.4566513384672, -1.49142691030785 52.4546156696441)"
30064,30594,"LINESTRING (-1.54785621921308 52.4077095885367, -1.55094465541915 52.4091549983787)"
30594,30064,"LINESTRING (-1.55094465541915 52.4091549983787, -1.54785621921308 52.4077095885367)"
30596,30597,"LINESTRING (-1.5729640385961 52.4106128597631, -1.57450250124953 52.4100020171368)"
30597,30596,"LINESTRING (-1.57450250124953 52.4100020171368, -1.5729640385961 52.4106128597631)"
30024,30032,"LINESTRING (-1.57673240144197 52.4163930028058, -1.57094823421174 52.414490665418)"
30032,30024,"LINESTRING (-1.57094823421174 52.414490665418, -1.57673240144197 52.4163930028058)"
30029,30597,"LINESTRING (-1.57385290234488 52.4098225542811, -1.57450250124953 52.4100020171368)"
30597,30029,"LINESTRING (-1.57450250124953 52.4100020171368, -1.57385290234488 52.4098225542811)"
30001,30004,"LINESTRING (-1.59885749376468 52.4199582447717, -1.59952731646122 52.4179939277396)"
30004,30001,"LINESTRING (-1.59952731646122 52.4179939277396, -1.59885749376468 52.4199582447717)"
30041,30598,"LINESTRING (-1.56212485988539 52.3912416170421, -1.5656884781027 52.3917865796393)"
30598,30041,"LINESTRING (-1.5656884781027 52.3917865796393, -1.56212485988539 52.3912416170421)"
30598,30599,"LINESTRING (-1.5656884781027 52.3917865796393, -1.56502748167697 52.3937220915977)"
30599,30598,"LINESTRING (-1.56502748167697 52.3937220915977, -1.5656884781027 52.3917865796393)"
30037,30599,"LINESTRING (-1.56482368293006 52.3941789966684, -1.56502748167697 52.3937220915977)"
30599,30037,"LINESTRING (-1.56502748167697 52.3937220915977, -1.56482368293006 52.3941789966684)"
30037,30038,"LINESTRING (-1.56482368293006 52.3941789966684, -1.56467351435685 52.3950193049517)"
30038,30037,"LINESTRING (-1.56467351435685 52.3950193049517, -1.56482368293006 52.3941789966684)"
30013,30601,"LINESTRING (-1.59118766663992 52.3926331875087, -1.59271072857224 52.3939504409892)"
30601,30013,"LINESTRING (-1.59271072857224 52.3939504409892, -1.59118766663992 52.3926331875087)"
30599,30602,"LINESTRING (-1.56502748167697 52.3937220915977, -1.56970927542723 52.3942985702489)"
30602,30599,"LINESTRING (-1.56970927542723 52.3942985702489, -1.56502748167697 52.3937220915977)"
30604,30605,"LINESTRING (-1.55402803857935 52.3884216064149, -1.55573767680185 52.388913509024)"
30605,30604,"LINESTRING (-1.55573767680185 52.388913509024, -1.55402803857935 52.3884216064149)"
30190,30609,"LINESTRING (-1.50327019089368 52.4103716656135, -1.50457231323134 52.4102341268343)"
30609,30190,"LINESTRING (-1.50457231323134 52.4102341268343, -1.50327019089368 52.4103716656135)"
30612,30622,"LINESTRING (-1.50174541782605 52.4255035238832, -1.50108082791503 52.4263233199416)"
30622,30612,"LINESTRING (-1.50108082791503 52.4263233199416, -1.50174541782605 52.4255035238832)"
30205,30612,"LINESTRING (-1.49450202009747 52.4250783568991, -1.50174541782605 52.4255035238832)"
