FROMNODENO,TONODENO,WKT
30298,30299,"LINESTRING (-1.44637593146996 52.4186867081352, -1.44581214467288 52.416742193777)"
30299,30298,"LINESTRING (-1.44581214467288 52.416742193777, -1.44637593146996 52.4186867081352)"
30248,30251,"LINESTRING (-1.47417148564357 52.4429699970966, -1.47313617247398 52.444547651389)"
30251,30248,"LINESTRING (-1.47313617247398 52.444547651389, -1.47417148564357 52.4429699970966)"
30250,30626,"LINESTRING (-1.47406683583593 52.4363887669149, -1.47456477259453 52.4363372579706)"
30626,30250,"LINESTRING (-1.47456477259453 52.4363372579706, -1.47406683583593 52.4363887669149)"
30299,30302,"LINESTRING (-1.44581214467288 52.416742193777, -1.44447813725356 52.4140838384554)"
30302,30299,"LINESTRING (-1.44447813725356 52.4140838384554, -1.44581214467288 52.416742193777)"
30244,30252,"LINESTRING (-1.47727322709348 52.3859502061784, -1.47349029586913 52.3840544736984)"
30252,30244,"LINESTRING (-1.47349029586913 52.3840544736984, -1.47727322709348 52.3859502061784)"
30073,30075,"LINESTRING (-1.54298980699414 52.4020810386008, -1.54084870216781 52.4036548449171)"
30075,30073,"LINESTRING (-1.54084870216781 52.4036548449171, -1.54298980699414 52.4020810386008)"
30186,30190,"LINESTRING (-1.50404083023226 52.4124426331154, -1.50327019089368 52.4103716656135)"
30190,30186,"LINESTRING (-1.50327019089368 52.4103716656135, -1.50404083023226 52.4124426331154)"
30186,30475,"LINESTRING (-1.50404083023226 52.4124426331154, -1.5049593650136 52.4121840804351)"
30475,30186,"LINESTRING (-1.5049593650136 52.4121840804351, -1.50404083023226 52.4124426331154)"
30173,30177,"LINESTRING (-1.50708134224729 52.4126890846266, -1.50612364179585 52.4118907296183)"
30177,30173,"LINESTRING (-1.50612364179585 52.4118907296183, -1.50708134224729 52.4126890846266)"
30184,30187,"LINESTRING (-1.50438337766351 52.4146736242504, -1.50350860660494 52.4153262367541)"
30187,30184,"LINESTRING (-1.50350860660494 52.4153262367541, -1.50438337766351 52.4146736242504)"
30280,30285,"LINESTRING (-1.45784809503822 52.4292223496507, -1.45459167903286 52.4285241327256)"
30285,30280,"LINESTRING (-1.45459167903286 52.4285241327256, -1.45784809503822 52.4292223496507)"
30293,30295,"LINESTRING (-1.44753295742907 52.4214071451277, -1.44720060252642 52.4208043930982)"
30295,30293,"LINESTRING (-1.44720060252642 52.4208043930982, -1.44753295742907 52.4214071451277)"
30227,30506,"LINESTRING (-1.48419882196969 52.4308954526008, -1.48485464088831 52.430585060506)"
30506,30227,"LINESTRING (-1.48485464088831 52.430585060506, -1.48419882196969 52.4308954526008)"
30373,30814,"LINESTRING (-1.49235066176029 52.3915882325815, -1.49266570419718 52.3916982418019)"
30814,30373,"LINESTRING (-1.49266570419718 52.3916982418019, -1.49235066176029 52.3915882325815)"
30297,30301,"LINESTRING (-1.44637108915848 52.4023359243275, -1.44493460033803 52.4011401282446)"
30301,30297,"LINESTRING (-1.44493460033803 52.4011401282446, -1.44637108915848 52.4023359243275)"
30218,30222,"LINESTRING (-1.48880013668786 52.4094649463217, -1.48722285911928 52.4098357064269)"
30222,30218,"LINESTRING (-1.48722285911928 52.4098357064269, -1.48880013668786 52.4094649463217)"
30096,30105,"LINESTRING (-1.53176665651008 52.4139850495818, -1.52978268141827 52.413278460948)"
30105,30096,"LINESTRING (-1.52978268141827 52.413278460948, -1.53176665651008 52.4139850495818)"
30226,30377,"LINESTRING (-1.48581408287653 52.3906445650507, -1.48330959290277 52.3902113931417)"
30377,30226,"LINESTRING (-1.48330959290277 52.3902113931417, -1.48581408287653 52.3906445650507)"
30060,30069,"LINESTRING (-1.55130768845928 52.4196076801394, -1.54555933674492 52.418084390337)"
30069,30060,"LINESTRING (-1.54555933674492 52.418084390337, -1.55130768845928 52.4196076801394)"
30241,30243,"LINESTRING (-1.47863700687229 52.4061391819564, -1.47819614631633 52.4061282478979)"
30243,30241,"LINESTRING (-1.47819614631633 52.4061282478979, -1.47863700687229 52.4061391819564)"
30131,30135,"LINESTRING (-1.51857209480339 52.3956820805386, -1.5170006820301 52.3963692222214)"
30135,30131,"LINESTRING (-1.5170006820301 52.3963692222214, -1.51857209480339 52.3956820805386)"
30440,30449,"LINESTRING (-1.51965522304424 52.4078083076056, -1.51954696427323 52.4081048202579)"
30449,30440,"LINESTRING (-1.51954696427323 52.4081048202579, -1.51965522304424 52.4078083076056)"
30226,30368,"LINESTRING (-1.48581408287653 52.3906445650507, -1.48831157731312 52.3911706461898)"
30368,30226,"LINESTRING (-1.48831157731312 52.3911706461898, -1.48581408287653 52.3906445650507)"
30134,30448,"LINESTRING (-1.51692242129757 52.4108327586204, -1.51731431759338 52.4105784205126)"
30448,30134,"LINESTRING (-1.51731431759338 52.4105784205126, -1.51692242129757 52.4108327586204)"
30352,30437,"LINESTRING (-1.51615272994959 52.4040075087235, -1.51682140923361 52.4045594690891)"
30437,30352,"LINESTRING (-1.51682140923361 52.4045594690891, -1.51615272994959 52.4040075087235)"
30469,30479,"LINESTRING (-1.50834342827475 52.4126038731635, -1.50761637321817 52.4121583647263)"
30479,30469,"LINESTRING (-1.50761637321817 52.4121583647263, -1.50834342827475 52.4126038731635)"
30132,30156,"LINESTRING (-1.51690800648234 52.4404191929147, -1.51057896472119 52.4407168293739)"
30156,30132,"LINESTRING (-1.51057896472119 52.4407168293739, -1.51690800648234 52.4404191929147)"
30087,30090,"LINESTRING (-1.53417436145958 52.403143451542, -1.53235978787122 52.4023811194027)"
30090,30087,"LINESTRING (-1.53235978787122 52.4023811194027, -1.53417436145958 52.403143451542)"
30017,30770,"LINESTRING (-1.58148198271201 52.4054599268046, -1.5842153549008 52.4069483051837)"
30770,30017,"LINESTRING (-1.5842153549008 52.4069483051837, -1.58148198271201 52.4054599268046)"
30041,30042,"LINESTRING (-1.56212485988539 52.3912416170421, -1.56127388063616 52.3932410217516)"
30042,30041,"LINESTRING (-1.56127388063616 52.3932410217516, -1.56212485988539 52.3912416170421)"
30038,30043,"LINESTRING (-1.56467351435685 52.3950193049517, -1.56081272399566 52.3938056903614)"
30043,30038,"LINESTRING (-1.56081272399566 52.3938056903614, -1.56467351435685 52.3950193049517)"
30292,30294,"LINESTRING (-1.4498300867405 52.3957354555526, -1.44757045700546 52.3948593356145)"
30294,30292,"LINESTRING (-1.44757045700546 52.3948593356145, -1.4498300867405 52.3957354555526)"
30044,30045,"LINESTRING (-1.56080710529454 52.3943720493505, -1.56048738200244 52.3940112555868)"
30045,30044,"LINESTRING (-1.56048738200244 52.3940112555868, -1.56080710529454 52.3943720493505)"
30011,30012,"LINESTRING (-1.59270045329298 52.4147319365903, -1.59263543678447 52.4154059713871)"
30012,30011,"LINESTRING (-1.59263543678447 52.4154059713871, -1.59270045329298 52.4147319365903)"
30179,30431,"LINESTRING (-1.50589954904664 52.3894985228875, -1.51065014104809 52.3927567038115)"
30431,30179,"LINESTRING (-1.51065014104809 52.3927567038115, -1.50589954904664 52.3894985228875)"
30152,30161,"LINESTRING (-1.51301429404543 52.3839001760837, -1.5095356659368 52.3809370190069)"
30161,30152,"LINESTRING (-1.5095356659368 52.3809370190069, -1.51301429404543 52.3839001760837)"
30133,30156,"LINESTRING (-1.51567563240989 52.4414872348114, -1.51057896472119 52.4407168293739)"
30156,30133,"LINESTRING (-1.51057896472119 52.4407168293739, -1.51567563240989 52.4414872348114)"
30170,30739,"LINESTRING (-1.5070519243797 52.4377534346734, -1.50673298700715 52.4364327914126)"
30739,30170,"LINESTRING (-1.50673298700715 52.4364327914126, -1.5070519243797 52.4377534346734)"
30000,30004,"LINESTRING (-1.60085632817593 52.4151732761805, -1.59952731646122 52.4179939277396)"
30004,30000,"LINESTRING (-1.59952731646122 52.4179939277396, -1.60085632817593 52.4151732761805)"
30000,30003,"LINESTRING (-1.60085632817593 52.4151732761805, -1.59723766827548 52.4137585557459)"
30003,30000,"LINESTRING (-1.59723766827548 52.4137585557459, -1.60085632817593 52.4151732761805)"
30002,30005,"LINESTRING (-1.59875811466572 52.3894449094661, -1.59704528091108 52.3929097853902)"
30005,30002,"LINESTRING (-1.59704528091108 52.3929097853902, -1.59875811466572 52.3894449094661)"
30005,30013,"LINESTRING (-1.59704528091108 52.3929097853902, -1.59118766663992 52.3926331875087)"
30013,30005,"LINESTRING (-1.59118766663992 52.3926331875087, -1.59704528091108 52.3929097853902)"
30025,30026,"LINESTRING (-1.57630941692043 52.3930081463226, -1.57603945416874 52.3941045395779)"
30026,30025,"LINESTRING (-1.57603945416874 52.3941045395779, -1.57630941692043 52.3930081463226)"
30349,30745,"LINESTRING (-1.51482640981196 52.3915335045647, -1.51142535135079 52.3932794766135)"
30745,30349,"LINESTRING (-1.51142535135079 52.3932794766135, -1.51482640981196 52.3915335045647)"
30112,30308,"LINESTRING (-1.52705073233313 52.401281194305, -1.52064096993693 52.3996745305734)"
30308,30112,"LINESTRING (-1.52064096993693 52.3996745305734, -1.52705073233313 52.401281194305)"
30163,30178,"LINESTRING (-1.50883516335627 52.4215696454503, -1.50566169446779 52.4213226845642)"
30178,30163,"LINESTRING (-1.50566169446779 52.4213226845642, -1.50883516335627 52.4215696454503)"
30124,30160,"LINESTRING (-1.52203019555629 52.4428852991776, -1.50916104086515 52.4427257534978)"
30160,30124,"LINESTRING (-1.50916104086515 52.4427257534978, -1.52203019555629 52.4428852991776)"
30127,30128,"LINESTRING (-1.52063340535636 52.446071413525, -1.5198640550918 52.445915181677)"
30128,30127,"LINESTRING (-1.5198640550918 52.445915181677, -1.52063340535636 52.446071413525)"
30088,30095,"LINESTRING (-1.53296462733644 52.4509031633361, -1.53149482270884 52.4451976413996)"
30095,30088,"LINESTRING (-1.53149482270884 52.4451976413996, -1.53296462733644 52.4509031633361)"
30195,30804,"LINESTRING (-1.49990165267293 52.4154941232629, -1.49864148102214 52.413630357776)"
30804,30195,"LINESTRING (-1.49864148102214 52.413630357776, -1.49990165267293 52.4154941232629)"
30503,30743,"LINESTRING (-1.48800057696735 52.4202053956044, -1.49038538886152 52.4155070969761)"
30743,30503,"LINESTRING (-1.49038538886152 52.4155070969761, -1.48800057696735 52.4202053956044)"
30235,30237,"LINESTRING (-1.48095922074341 52.4061673745197, -1.48025870019086 52.4032335042157)"
30237,30235,"LINESTRING (-1.48025870019086 52.4032335042157, -1.48095922074341 52.4061673745197)"
30223,30237,"LINESTRING (-1.48693145950489 52.403271625182, -1.48025870019086 52.4032335042157)"
30237,30223,"LINESTRING (-1.48025870019086 52.4032335042157, -1.48693145950489 52.403271625182)"
30258,30262,"LINESTRING (-1.47129791519133 52.383158174641, -1.46822121901824 52.3835993690961)"
30262,30258,"LINESTRING (-1.46822121901824 52.3835993690961, -1.47129791519133 52.383158174641)"
30228,30417,"LINESTRING (-1.48349391038597 52.4153254856533, -1.48292193814249 52.4155344429935)"
30417,30228,"LINESTRING (-1.48292193814249 52.4155344429935, -1.48349391038597 52.4153254856533)"
30270,30576,"LINESTRING (-1.46265610290613 52.4244884996102, -1.46188339507626 52.4262037904479)"
30576,30270,"LINESTRING (-1.46188339507626 52.4262037904479, -1.46265610290613 52.4244884996102)"
30270,30271,"LINESTRING (-1.46265610290613 52.4244884996102, -1.46172709309107 52.4222816908709)"
30271,30270,"LINESTRING (-1.46172709309107 52.4222816908709, -1.46265610290613 52.4244884996102)"
30249,30575,"LINESTRING (-1.4742555477004 52.4247743571525, -1.47046266341543 52.4246720354113)"
30575,30249,"LINESTRING (-1.47046266341543 52.4246720354113, -1.4742555477004 52.4247743571525)"
30221,30230,"LINESTRING (-1.48721922592894 52.4367791297542, -1.48301200513072 52.43679678291)"
30230,30221,"LINESTRING (-1.48301200513072 52.43679678291, -1.48721922592894 52.4367791297542)"
30128,30590,"LINESTRING (-1.5198640550918 52.445915181677, -1.51925159786607 52.446552115395)"
30590,30128,"LINESTRING (-1.51925159786607 52.446552115395, -1.5198640550918 52.445915181677)"
30282,30579,"LINESTRING (-1.45709760287343 52.4412283083141, -1.45542437243428 52.4415895034844)"
30579,30282,"LINESTRING (-1.45542437243428 52.4415895034844, -1.45709760287343 52.4412283083141)"
30278,30279,"LINESTRING (-1.45950979907527 52.40999102679, -1.45852211651053 52.4138163198311)"
30279,30278,"LINESTRING (-1.45852211651053 52.4138163198311, -1.45950979907527 52.40999102679)"
30296,30502,"LINESTRING (-1.44671955556859 52.4288292066503, -1.44746342513693 52.4296193204042)"
30502,30296,"LINESTRING (-1.44746342513693 52.4296193204042, -1.44671955556859 52.4288292066503)"
30240,30249,"LINESTRING (-1.47891464029361 52.4294844475435, -1.4742555477004 52.4247743571525)"
30249,30240,"LINESTRING (-1.4742555477004 52.4247743571525, -1.47891464029361 52.4294844475435)"
30241,30411,"LINESTRING (-1.47863700687229 52.4061391819564, -1.4787411157897 52.4066211764843)"
30411,30241,"LINESTRING (-1.4787411157897 52.4066211764843, -1.47863700687229 52.4061391819564)"
30115,30116,"LINESTRING (-1.52572666738397 52.4178537181593, -1.52524999973344 52.4184271751976)"
30116,30115,"LINESTRING (-1.52524999973344 52.4184271751976, -1.52572666738397 52.4178537181593)"
30101,30525,"LINESTRING (-1.52998525743747 52.4281360285631, -1.53065866748559 52.4281257783492)"
30525,30101,"LINESTRING (-1.53065866748559 52.4281257783492, -1.52998525743747 52.4281360285631)"
30056,30594,"LINESTRING (-1.55128022296235 52.4085907353865, -1.55094465541915 52.4091549983787)"
30594,30056,"LINESTRING (-1.55094465541915 52.4091549983787, -1.55128022296235 52.4085907353865)"
30534,30608,"LINESTRING (-1.56915260550713 52.4226722048414, -1.57132957788078 52.4258678572345)"
30608,30534,"LINESTRING (-1.57132957788078 52.4258678572345, -1.56915260550713 52.4226722048414)"
30003,30009,"LINESTRING (-1.59723766827548 52.4137585557459, -1.5930178770392 52.4134895833892)"
30009,30003,"LINESTRING (-1.5930178770392 52.4134895833892, -1.59723766827548 52.4137585557459)"
30303,30501,"LINESTRING (-1.44391277174863 52.4251390775072, -1.44339767496682 52.4244761605952)"
30501,30303,"LINESTRING (-1.44339767496682 52.4244761605952, -1.44391277174863 52.4251390775072)"
30301,30572,"LINESTRING (-1.44493460033803 52.4011401282446, -1.44752927274834 52.3980484138065)"
30572,30301,"LINESTRING (-1.44752927274834 52.3980484138065, -1.44493460033803 52.4011401282446)"
30289,30293,"LINESTRING (-1.45202689290732 52.4194951623548, -1.44753295742907 52.4214071451277)"
30293,30289,"LINESTRING (-1.44753295742907 52.4214071451277, -1.45202689290732 52.4194951623548)"
30281,30291,"LINESTRING (-1.45706412169443 52.4032371974099, -1.45039765879259 52.4026939697467)"
30291,30281,"LINESTRING (-1.45039765879259 52.4026939697467, -1.45706412169443 52.4032371974099)"
30286,30291,"LINESTRING (-1.45403774273458 52.3995372928724, -1.45039765879259 52.4026939697467)"
30291,30286,"LINESTRING (-1.45039765879259 52.4026939697467, -1.45403774273458 52.3995372928724)"
30285,30296,"LINESTRING (-1.45459167903286 52.4285241327256, -1.44671955556859 52.4288292066503)"
30296,30285,"LINESTRING (-1.44671955556859 52.4288292066503, -1.45459167903286 52.4285241327256)"
30275,30435,"LINESTRING (-1.46042808102535 52.4046101068, -1.45986619589469 52.4055490862767)"
30435,30275,"LINESTRING (-1.45986619589469 52.4055490862767, -1.46042808102535 52.4046101068)"
30256,30260,"LINESTRING (-1.47116974781308 52.4393246132841, -1.47008594903114 52.4413785013113)"
30260,30256,"LINESTRING (-1.47008594903114 52.4413785013113, -1.47116974781308 52.4393246132841)"
30259,30379,"LINESTRING (-1.47128494602972 52.394023751045, -1.47785800125099 52.3913992145672)"
30379,30259,"LINESTRING (-1.47785800125099 52.3913992145672, -1.47128494602972 52.394023751045)"
30257,30267,"LINESTRING (-1.47111672479243 52.4339213134074, -1.46636866474496 52.4324615741058)"
30267,30257,"LINESTRING (-1.46636866474496 52.4324615741058, -1.47111672479243 52.4339213134074)"
30253,30257,"LINESTRING (-1.47285015791423 52.435340498497, -1.47111672479243 52.4339213134074)"
30257,30253,"LINESTRING (-1.47111672479243 52.4339213134074, -1.47285015791423 52.435340498497)"
30245,30256,"LINESTRING (-1.47505348626814 52.4393149364543, -1.47116974781308 52.4393246132841)"
30256,30245,"LINESTRING (-1.47116974781308 52.4393246132841, -1.47505348626814 52.4393149364543)"
30248,30260,"LINESTRING (-1.47417148564357 52.4429699970966, -1.47008594903114 52.4413785013113)"
30260,30248,"LINESTRING (-1.47008594903114 52.4413785013113, -1.47417148564357 52.4429699970966)"
30244,30380,"LINESTRING (-1.47727322709348 52.3859502061784, -1.47979313144827 52.3887802502398)"
30380,30244,"LINESTRING (-1.47979313144827 52.3887802502398, -1.47727322709348 52.3859502061784)"
30240,30242,"LINESTRING (-1.47891464029361 52.4294844475435, -1.47793077147647 52.4298610671158)"
30242,30240,"LINESTRING (-1.47793077147647 52.4298610671158, -1.47891464029361 52.4294844475435)"
30227,30234,"LINESTRING (-1.48419882196969 52.4308954526008, -1.48120757360283 52.4326997852682)"
30234,30227,"LINESTRING (-1.48120757360283 52.4326997852682, -1.48419882196969 52.4308954526008)"
30416,30417,"LINESTRING (-1.48275182137313 52.4163695017983, -1.48292193814249 52.4155344429935)"
30417,30416,"LINESTRING (-1.48292193814249 52.4155344429935, -1.48275182137313 52.4163695017983)"
30235,30412,"LINESTRING (-1.48095922074341 52.4061673745197, -1.48643857697403 52.4065082929184)"
30412,30235,"LINESTRING (-1.48643857697403 52.4065082929184, -1.48095922074341 52.4061673745197)"
30505,30577,"LINESTRING (-1.48533023897706 52.4293703723009, -1.48547362219413 52.4270020967731)"
30577,30505,"LINESTRING (-1.48547362219413 52.4270020967731, -1.48533023897706 52.4293703723009)"
30222,30233,"LINESTRING (-1.48722285911928 52.4098357064269, -1.48225555560625 52.4109558208781)"
30233,30222,"LINESTRING (-1.48225555560625 52.4109558208781, -1.48722285911928 52.4098357064269)"
30214,30215,"LINESTRING (-1.49101743346451 52.4078068334967, -1.49060930911532 52.4076499294519)"
30215,30214,"LINESTRING (-1.49060930911532 52.4076499294519, -1.49101743346451 52.4078068334967)"
30201,30205,"LINESTRING (-1.4967719242269 52.420745798769, -1.49450202009747 52.4250783568991)"
30205,30201,"LINESTRING (-1.49450202009747 52.4250783568991, -1.4967719242269 52.420745798769)"
30189,30191,"LINESTRING (-1.50314075294201 52.4295021468797, -1.5029314078137 52.4287460816239)"
30191,30189,"LINESTRING (-1.5029314078137 52.4287460816239, -1.50314075294201 52.4295021468797)"
30636,30640,"LINESTRING (-1.50687768423754 52.4077135933785, -1.5072509574474 52.40773172393)"
30640,30636,"LINESTRING (-1.5072509574474 52.40773172393, -1.50687768423754 52.4077135933785)"
30169,30639,"LINESTRING (-1.5084284172414 52.4069440399173, -1.50735915932596 52.40692558969)"
30639,30169,"LINESTRING (-1.50735915932596 52.40692558969, -1.5084284172414 52.4069440399173)"
30353,30389,"LINESTRING (-1.51113078079497 52.4029223001609, -1.51052848563054 52.4029466063306)"
30389,30353,"LINESTRING (-1.51052848563054 52.4029466063306, -1.51113078079497 52.4029223001609)"
30168,30687,"LINESTRING (-1.50884582692557 52.3742544388872, -1.50646851753822 52.37705533999)"
30687,30168,"LINESTRING (-1.50646851753822 52.37705533999, -1.50884582692557 52.3742544388872)"
30167,30633,"LINESTRING (-1.50854454063038 52.4053771895809, -1.50848655758409 52.4059655233806)"
30633,30167,"LINESTRING (-1.50848655758409 52.4059655233806, -1.50854454063038 52.4053771895809)"
30166,30564,"LINESTRING (-1.50900526987629 52.3797481126171, -1.50912236986439 52.3793724156826)"
30564,30166,"LINESTRING (-1.50912236986439 52.3793724156826, -1.50900526987629 52.3797481126171)"
